date,spy_close,spy_open,spy_high,spy_low,spy_volume,spy_sma20,spy_sma50,spy_sma200,spy_above_sma20,spy_above_sma50,spy_above_sma200,spy_sma20_slope_up,spy_return_1d,spy_return_5d,spy_return_20d,spy_return_60d,spy_gap_pct,spy_range_pct,spy_range_pct_sma10,spy_range_expansion,spy_realized_vol_20d,qqq_close,qqq_above_sma20,qqq_above_sma50,qqq_return_1d,qqq_return_5d,qqq_realized_vol_20d,spy_qqq_divergence_1d,market_regime_label
2025-07-23,634.21,631.55,634.21,629.73,70511036,622.417,605.243,586.3679,1,1,1,1,0.008507,0.016004,0.045206,0.151769,0.004278,0.007064,0.006621,1.0669,0.068268,563.81,1,1,0.004561,0.011699,0.084396,0.003946,bullish
2025-07-24,634.42,634.6,636.15,633.99,71307134,623.782,606.2716,586.701,1,1,1,1,0.000331,0.010159,0.044966,0.151711,0.000615,0.003405,0.006345,0.5366,0.068346,565.01,1,1,0.002128,0.005714,0.084385,-0.001797,bullish
2025-07-25,637.1,635.09,637.5799,634.84,56865364,625.0435,607.2768,587.0215,1,1,1,1,0.004224,0.015169,0.041234,0.149336,0.001056,0.004301,0.006241,0.6892,0.065587,566.37,1,1,0.002407,0.009105,0.080074,0.001817,bullish
2025-07-28,636.94,637.48,638.04,635.54,54917102,626.145,608.2638,587.3672,1,1,1,1,-0.000251,0.012994,0.035826,0.148592,0.000596,0.003925,0.006096,0.6439,0.065098,568.14,1,1,0.003125,0.007037,0.080002,-0.003376,bullish
2025-07-29,635.26,638.35,638.67,634.335,60556278,627.0155,609.1598,587.6777,1,1,1,1,-0.002638,0.010177,0.028178,0.137501,0.002214,0.006824,0.005846,1.1673,0.065864,567.26,1,1,-0.001549,0.010708,0.078857,-0.001089,bullish
2025-07-30,634.46,635.92,637.68,631.54,80418851,627.856,609.965,587.9643,1,1,1,1,-0.001259,0.000394,0.027216,0.119451,0.001039,0.009678,0.005744,1.6849,0.06627,568.02,1,1,0.00134,0.007467,0.069749,-0.002599,bullish
2025-07-31,632.08,639.455,639.85,630.765,103385246,628.4375,610.7096,588.244,1,1,1,1,-0.003751,-0.003688,0.018744,0.121684,0.007873,0.014373,0.006508,2.2085,0.067506,565.01,1,1,-0.005299,0.0,0.071512,0.001548,bullish
2025-08-01,621.72,626.3,626.34,619.29,140103572,628.2565,611.287,588.4548,0,1,1,0,-0.01639,-0.024141,-0.005789,0.112598,-0.009144,0.01134,0.007163,1.5831,0.086997,553.88,0,1,-0.019699,-0.022053,0.097522,0.003309,neutral
2025-08-04,631.17,625.67,631.215,625.58,73218015,628.781,612.2532,588.689,1,1,1,1,0.0152,-0.009059,0.016901,0.124779,0.006353,0.008928,0.007547,1.183,0.098391,564.1,1,1,0.018452,-0.007111,0.113523,-0.003252,bullish
2025-08-05,627.97,631.79,632.6052,627.04,68051401,629.1625,613.1508,588.93,0,1,1,1,-0.00507,-0.011476,0.0123,0.111333,0.000982,0.008862,0.00787,1.126,0.100531,560.27,0,1,-0.00679,-0.012322,0.116937,0.00172,neutral
