ticker,name,primary_exchange,latest_close,avg_volume
UAL,"United Airlines Holdings, Inc. Common Stock",XNAS,93.56,6927202
UAMY,United States Antimony Corporation,XNYS,9.28,10034971
UCFI,CN Healthy Food Tech Group Corp. Common Stock,XNAS,5.51,5441353
UEC,Uranium Energy Corp.,XASE,13.19,12750488
UPS,"United Parcel Service, Inc. Class B",XNYS,98.44,6851147
UPST,"Upstart Holdings, Inc. Common stock",XNAS,26.6,6245258
USB,U.S. Bancorp,XNYS,52.14,10137327
VFC,V.F. Corporation,XNYS,17.3,7980491
VG,"Venture Global, Inc.",XNYS,16.6,10814467
VICI,VICI Properties Inc. Common Stock,XNYS,27.3,8942666
VISN,"Vistance Networks, Inc. Common Stock",XNAS,18.15,4349195
VKTX,"Viking Therapeutics, Inc",XNAS,32.17,4236128
VLY,Valley National Bancorp,XNAS,12.27,9232939
VSNT,"Versant Media Group, Inc. Class A Common Stock",XNAS,36.13,5025208
VTRS,Viatris Inc. Common Stock,XNAS,13.36,10875485
WBD,"Warner Bros. Discovery, Inc. Series A Common Stock",XNAS,27.28,47660406
WEN,The Wendy's Company,XNAS,7.1,7037538
WFC,Wells Fargo & Co.,XNYS,79.61,16448152
WMB,Williams Companies Inc.,XNYS,74.46,7344257
WOLF,"Wolfspeed, Inc.",XNYS,16.67,25796862
WULF,TeraWulf Inc. Common Stock,XNAS,16.22,40842772
WY,Weyerhaeuser Company,XNYS,23.54,5365739
XEL,"Xcel Energy, Inc.",XNAS,77.96,4465180
XP,XP Inc. Class A Common Stock,XNAS,19.22,6864745
ZETA,Zeta Global Holdings Corp.,XNYS,16.15,7651870
ZIM,ZIM Integrated Shipping Services Ltd.,XNYS,26.46,5192225
