ticker,name,primary_exchange,latest_close,latest_close_date,average_daily_volume,average_daily_dollar_volume,price_bucket,adv_dollar_bucket,recent_gap_frequency_proxy,recent_range_expansion_proxy,overnight_planning_suitability_score,include_in_working_universe,exclusion_reason
MEOH,Methanex Corp,XNAS,58.73,2026-03-24,930282,47398396,price_40_80,adv_20m_50m,0.5806,0.04356,0.6071,True,
ELV,"Elevance Health, Inc.",XNYS,290.33,2026-03-24,1838558,597293224,price_200_500,adv_100m_plus,0.4032,0.030915,0.607,True,
ZYME,Zymeworks Inc.,XNAS,23.6,2026-03-24,749437,17985582,price_20_40,adv_5m_20m,0.7258,0.044673,0.607,True,
MIRM,"Mirum Pharmaceuticals, Inc. Common Stock",XNAS,87.88,2026-03-24,818403,75461372,price_80_200,adv_50m_100m,0.5161,0.042448,0.6067,True,
AMG,Affiliated Managers Group,XNYS,275.55,2026-03-24,421536,127475328,price_200_500,adv_100m_plus,0.5323,0.034205,0.6066,True,
EWTX,"Edgewise Therapeutics, Inc. Common Stock",XNAS,30.64,2026-03-24,1118911,30969051,price_20_40,adv_20m_50m,0.5161,0.060015,0.6064,True,
DHT,"DHT HOLDINGS, INC.",XNYS,18.52,2026-03-24,4113581,68453377,price_10_20,adv_50m_100m,0.5968,0.03588,0.6064,True,
AKTS,"Aktis Oncology, Inc. Common stock",XNAS,18.63,2026-03-24,4262847,6796059,price_10_20,adv_5m_20m,0.5806,0.102635,0.6063,True,
FTI,TechnipFMC plc Ordinary Share,XNYS,70.16,2026-03-24,3855232,229146490,price_40_80,adv_100m_plus,0.5,0.031123,0.6061,True,
ZTS,ZOETIS INC.,XNYS,115.93,2026-03-24,4530834,562903370,price_80_200,adv_100m_plus,0.5161,0.025817,0.6058,True,
CVLT,"Commault Systems, Inc.",XNAS,78.3,2026-03-24,1035108,96336302,price_40_80,adv_50m_100m,0.5,0.039919,0.6058,True,
FFIV,"F5, Inc. Common Stock",XNAS,289.04,2026-03-24,913737,250497502,price_200_500,adv_100m_plus,0.5,0.03042,0.6056,True,
MCO,Moody's Corporation,XNYS,428.46,2026-03-24,1292386,599863680,price_200_500,adv_100m_plus,0.5161,0.025504,0.6055,True,
ENS,"EnerSys, Inc.",XNYS,177.14,2026-03-24,463464,78211454,price_80_200,adv_50m_100m,0.5968,0.034071,0.6054,True,
ALGN,Align Technology Inc,XNAS,179.34,2026-03-24,1222100,213674419,price_80_200,adv_100m_plus,0.4839,0.032635,0.6053,True,
TENB,"Tenable Holdings, Inc.",XNAS,18.94,2026-03-24,2530973,53253549,price_10_20,adv_50m_100m,0.5484,0.044578,0.605,True,
ENOV,Enovis Corporation,XNYS,22.11,2026-03-24,1077399,25873900,price_20_40,adv_20m_50m,0.6129,0.049155,0.6047,True,
LAD,"Lithia Motors, Inc.",XNYS,251.95,2026-03-24,300282,89479909,price_200_500,adv_50m_100m,0.6129,0.030857,0.604,True,
TGTX,"TG Therapeutics, Inc.",XNAS,30.22,2026-03-24,2041780,60674521,price_20_40,adv_50m_100m,0.5484,0.042198,0.604,True,
PRMB,Primo Brands Corporation,XNYS,18.51,2026-03-24,5844889,112221260,price_10_20,adv_100m_plus,0.5323,0.034932,0.6038,True,
APPF,"AppFolio, Inc. Class A",XNAS,161.05,2026-03-24,389877,74271631,price_80_200,adv_50m_100m,0.5484,0.03854,0.6035,True,
LTRX,Lantronix Inc,XNAS,5.96,2026-03-24,943424,6031197,price_5_10,adv_5m_20m,0.6935,0.074519,0.6034,True,
HNRG,Hallador Energy Company,XNAS,16.63,2026-03-24,616054,11392812,price_10_20,adv_5m_20m,0.6613,0.060144,0.6032,True,
BTSG,"BrightSpring Health Services, Inc. Common Stock",XNAS,43.31,2026-03-24,2313593,93383194,price_40_80,adv_50m_100m,0.4839,0.041076,0.6031,True,
AMTM,"Amentum Holdings, Inc.",XNYS,26.59,2026-03-24,2065848,65739022,price_20_40,adv_50m_100m,0.5806,0.037128,0.6027,True,
WLTH,Wealthfront Corporation Common Stock,XNAS,8.34,2026-03-24,1595372,15034187,price_5_10,adv_5m_20m,0.5806,0.066162,0.6026,True,
TNXP,Tonix Pharmaceuticals Holding Corp.,XNAS,15.34,2026-03-24,414794,6532427,price_10_20,adv_5m_20m,0.7742,0.060001,0.6026,True,
XENE,Xenon Pharmaceuticals Inc,XNAS,53.38,2026-03-24,1349036,66995508,price_40_80,adv_50m_100m,0.5161,0.04297,0.6023,True,
HBAN,Huntington Bancshares Inc,XNAS,15.48,2026-03-24,32996218,571254252,price_10_20,adv_100m_plus,0.4839,0.026798,0.602,True,
WH,"Wyndham Hotels & Resorts, Inc. Common Stock",XNYS,77.39,2026-03-24,1349646,105588793,price_40_80,adv_100m_plus,0.5806,0.031389,0.6019,True,
GLBE,Global-E Online Ltd. Ordinary Shares,XNAS,31.7,2026-03-24,1510691,53005189,price_20_40,adv_50m_100m,0.5645,0.042098,0.6018,True,
NOV,NOV Inc.,XNYS,19.51,2026-03-24,4715381,87660394,price_10_20,adv_50m_100m,0.5806,0.03303,0.6018,True,
HLNE,Hamilton Lane Incorporated Class A Common Stock,XNAS,99.55,2026-03-24,678492,81378101,price_80_200,adv_50m_100m,0.4839,0.042977,0.6017,True,
