ticker,name,market,locale,primary_exchange,type,active,currency_name,cik,composite_figi,share_class_figi,last_updated_utc
MCGA,Yorkville Acquisition Corp. Class A Ordinary Share,stocks,us,XNAS,CS,True,usd,0002064658,,,2026-03-24T06:07:49.663802684Z
MCHB,Mechanics Bancorp Class A Common Stock,stocks,us,XNAS,CS,True,usd,0001518715,BBG001P717K5,BBG001V190V6,2026-03-24T06:07:49.663803175Z
MCHP,Microchip Technology Inc,stocks,us,XNAS,CS,True,usd,0000827054,BBG000BHCP19,BBG001S787B5,2026-03-24T06:07:49.663803565Z
MCHPP,Microchip Technology Incorporated Depositary Shares Each Representing a 1/20th Interest in a Share of 7.50% Series A Mandatory Convertible Preferred Stock,stocks,us,XNAS,CS,True,usd,0000827054,,,2026-03-24T06:07:49.663803665Z
MCHX,"Marchex, Inc. Class B",stocks,us,XNAS,CS,True,usd,0001224133,BBG000GF2LH1,BBG001SH7760,2026-03-24T06:07:49.663803856Z
MCK,McKesson Corporation,stocks,us,XNYS,CS,True,usd,0000927653,BBG000DYGNW7,BBG001S8F8P8,2026-03-24T06:07:49.663804036Z
MCO,Moody's Corporation,stocks,us,XNYS,CS,True,usd,0001059556,BBG000F86GP6,BBG001S5VP87,2026-03-24T06:07:49.663804367Z
MCRB,"Seres Therapeutics, Inc.",stocks,us,XNAS,CS,True,usd,0001609809,BBG0099X6859,BBG0099X6868,2026-03-24T06:07:49.663804667Z
MCRI,Monarch Casino & Resort Inc,stocks,us,XNAS,CS,True,usd,0000907242,BBG000BJ0932,BBG001S7DVP1,2026-03-24T06:07:49.663804758Z
MCRP,Micropolis AI Robotics,stocks,us,XASE,CS,True,usd,0001993431,,,2026-03-24T06:07:49.663804848Z
MCS,The Marcus Corporation,stocks,us,XNYS,CS,True,usd,0000062234,BBG000D6HL06,BBG001S7JNZ2,2026-03-24T06:07:49.663804938Z
